580	恫
581	冻
582	洞
583	兜
584	抖
585	斗
586	陡
587	豆
588	逗
589	痘
590	都
591	督
592	毒
593	犊
594	独
595	读
596	堵
597	睹
598	赌
599	杜
600	镀
601	肚
602	度
603	渡
604	妒
605	端
606	短
607	锻
608	段
609	断
610	缎
611	堆
612	兑
613	队
614	对
615	墩
616	吨
617	蹲
618	敦
619	顿
620	囤
621	钝
622	盾
623	遁
624	掇
625	哆
626	多
627	夺
628	垛
629	躲
630	朵
631	跺
632	舵
633	剁
634	惰
635	堕
636	蛾
637	峨
638	鹅
639	俄
640	额
641	讹
642	娥
643	恶
644	厄
645	扼
646	遏
647	鄂
648	饿
649	恩
650	而
651	儿
652	耳
653	尔
654	饵
655	洱
656	二
657	贰
658	发
659	罚
660	筏
661	伐
662	乏
663	阀
664	法
665	珐
666	藩
667	帆
668	番
669	翻
670	樊
671	矾
672	钒
673	繁
674	凡
675	烦
676	反
677	返
678	范
679	贩
680	犯
681	饭
682	泛
683	坊
684	芳
685	方
686	肪
687	房
688	防
689	妨
690	仿
691	访
692	纺
693	放
694	菲
695	非
696	啡
697	飞
698	肥
699	匪
700	诽
701	吠
702	肺
703	废
704	沸
705	费
706	芬
707	酚
708	吩
709	氛
710	分
711	纷
712	坟
713	焚
714	汾
715	粉
716	奋
717	份
718	忿
719	愤
720	粪
721	丰
722	封
723	枫
724	蜂
725	峰
726	锋
727	风
728	疯
729	烽
730	逢
731	冯
732	缝
733	讽
734	奉
735	凤
736	佛
737	否
738	夫
739	敷
740	肤
741	孵
742	扶
743	拂
744	辐
745	幅
746	氟
747	符
748	伏
749	俘
750	服
751	浮
752	涪
753	福
754	袱
755	弗
756	甫
757	抚
758	辅
759	俯
760	釜
761	斧
762	脯
763	腑
764	府
765	腐
766	赴
767	副
768	覆
769	赋
770	复
771	傅
772	付
773	阜
774	父
775	腹
776	负
777	富
778	讣
779	附
780	妇
781	缚
782	咐
783	噶
784	嘎
785	该
786	改
787	概
788	钙
789	盖
790	溉
791	干
792	甘
793	杆
794	柑
795	竿
796	肝
797	赶
798	感
799	秆
800	敢
801	赣
802	冈
803	刚
804	钢
805	缸
806	肛
807	纲
808	岗
809	港
810	杠
811	篙
812	皋
813	高
814	膏
815	羔
816	糕
817	搞
818	镐
819	稿
820	告
821	哥
822	歌
823	搁
824	戈
825	鸽
826	胳
827	疙
828	割
829	革
830	葛
831	格
832	蛤
833	阁
834	隔
835	铬
836	个
837	各
838	给
839	根
840	跟
841	耕
842	更
843	庚
844	羹
845	埂
846	耿
847	梗
848	工
849	攻
850	功
851	恭
852	龚
853	供
854	躬
855	公
856	宫
857	弓
858	巩
859	汞
860	拱
861	贡
862	共
863	钩
864	勾
865	沟
866	苟
867	狗
868	垢
869	构
870	购
871	够
872	辜
873	菇
874	咕
875	箍
876	估
877	沽
878	孤
879	姑
880	鼓
881	古
882	蛊
883	骨
884	谷
885	股
886	故
887	顾
888	固
889	雇
890	刮
891	瓜
892	剐
893	寡
894	挂
895	褂
896	乖
897	拐
898	怪
899	棺
900	关
901	官
902	冠
903	观
904	管
905	馆
906	罐
907	惯
908	灌
909	贯
910	光
911	广
912	逛
913	瑰
914	规
915	圭
916	硅
917	归
918	龟
919	闺
920	轨
921	鬼
922	诡
923	癸
924	桂
925	柜
926	跪
927	贵
928	刽
929	辊
930	滚
931	棍
932	锅
933	郭
934	国
935	果
936	裹
937	过
938	哈
939	骸
940	孩
941	海
942	氦
943	亥
944	害
945	骇
946	酣
947	憨
948	邯
949	韩
950	含
951	涵
952	寒
953	函
954	喊
955	罕
956	翰
957	撼
958	捍
959	旱
960	憾
961	悍
962	焊
963	汗
964	汉
965	夯
966	杭
967	航
968	壕
969	嚎
970	豪
971	毫
972	郝
973	好
974	耗
975	号
976	浩
977	呵
978	喝
979	荷
980	菏
981	核
982	禾
983	和
984	何
985	合
986	盒
987	貉
988	阂
989	河
990	涸
991	赫
992	褐
993	鹤
994	贺
995	嘿
996	黑
997	痕
998	很
999	狠
1000	恨
1001	哼
1002	亨
1003	横
1004	衡
1005	恒
1006	轰
1007	哄
1008	烘
1009	虹
1010	鸿
1011	洪
1012	宏
1013	弘
1014	红
1015	喉
1016	侯
1017	猴
1018	吼
1019	厚
1020	候
1021	后
1022	呼
1023	乎
1024	忽
1025	瑚
1026	壶
1027	葫
1028	胡
1029	蝴
1030	狐
1031	糊
1032	湖
1033	弧
1034	虎
1035	唬
1036	护
1037	互
1038	沪
1039	户
1040	花
1041	哗
1042	华
1043	猾
1044	滑
1045	画
1046	划
1047	化
1048	话
1049	槐
1050	徊
1051	怀
1052	淮
1053	坏
1054	欢
1055	环
1056	桓
1057	还
1058	缓
1059	换
1060	患
1061	唤
1062	痪
1063	豢
1064	焕
1065	涣
1066	宦
1067	幻
1068	荒
1069	慌
1070	黄
1071	磺
1072	蝗
1073	簧
1074	皇
1075	凰
1076	惶
1077	煌
1078	晃
1079	幌
1080	恍
1081	谎
1082	灰
1083	挥
1084	辉
1085	徽
1086	恢
1087	蛔
1088	回
1089	毁
1090	悔
1091	慧
1092	卉
1093	惠
1094	晦
1095	贿
1096	秽
1097	会
1098	烩
1099	汇
1100	讳
1101	诲
1102	绘
1103	荤
1104	昏
1105	婚
1106	魂
1107	浑
1108	混
1109	豁
1110	活
1111	伙
1112	火
1113	获
1114	或
1115	惑
1116	霍
1117	货
1118	祸
1119	击
1120	圾
1121	基
1122	机
1123	畸
1124	稽
1125	积
1126	箕
1127	肌
1128	饥
1129	迹
1130	激
1131	讥
1132	鸡
1133	姬
1134	绩
1135	缉
1136	吉
1137	极
1138	棘
1139	辑
1140	籍
1141	集
1142	及
1143	急
1144	疾
1145	汲
1146	即
1147	嫉
1148	级
1149	挤
1150	几
1151	脊
1152	己
1153	蓟
1154	技
1155	冀
1156	季
1157	伎
1158	祭
1159	剂
1160	悸
1161	济
1162	寄
1163	寂
1164	计
1165	记
1166	既
1167	忌
1168	际
1169	继
1170	纪
1171	嘉
1172	枷
1173	夹
1174	佳
1175	家
1176	加
1177	荚
1178	颊
1179	贾
1180	甲
1181	钾
1182	假
1183	稼
1184	价
1185	架
1186	驾
1187	嫁
1188	歼
1189	监
1190	坚
1191	尖
1192	笺
1193	间
1194	煎
1195	兼
1196	肩
1197	艰
1198	缄
1199	茧
1200	检
1201	柬
1202	碱
1203	硷
1204	拣
1205	捡
1206	简
1207	俭
1208	剪
1209	减
1210	荐
1211	槛
1212	鉴
1213	践
1214	见
1215	键
1216	箭
1217	件
1218	健
